"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-08-13,"00:35:02","LichtS","A","ein",2102,"2020-08-12",1,"2020"
2020-08-13,"00:35:03","LichtS","A","aus",2103,"2020-08-12",-1,"2020"
2020-08-13,"00:35:05","LichtS","A","ein",2105,"2020-08-12",1,"2020"
2020-08-13,"00:35:05","LichtS","A","ein",2105,"2020-08-12",1,"2020"
2020-08-13,"00:35:07","LichtS","A","aus",2107,"2020-08-12",-1,"2020"
2020-08-13,"00:35:08","LichtS","A","ein",2108,"2020-08-12",1,"2020"
2020-08-13,"00:35:08","LichtS","A","ein",2108,"2020-08-12",1,"2020"
2020-08-13,"00:35:10","LichtS","A","aus",2110,"2020-08-12",-1,"2020"
2020-08-13,"00:35:17","LichtS","A","ein",2117,"2020-08-12",1,"2020"
2020-08-13,"00:35:20","LichtS","A","ein",2120,"2020-08-12",1,"2020"
2020-08-13,"00:35:50","LichtS","A","aus",2150,"2020-08-12",-1,"2020"
2020-08-13,"00:35:54","LichtS","A","ein",2154,"2020-08-12",1,"2020"
2020-08-13,"00:36:05","LichtS","A","aus",2165,"2020-08-12",-1,"2020"
2020-08-13,"00:36:05","LichtS","A","ein",2165,"2020-08-12",1,"2020"
2020-08-13,"00:36:18","LichtS","A","ein",2178,"2020-08-12",1,"2020"
2020-08-13,"00:36:27","LichtS","A","aus",2187,"2020-08-12",-1,"2020"
2020-08-13,"00:36:30","LichtS","A","aus",2190,"2020-08-12",-1,"2020"
2020-08-13,"00:37:33","LichtS","A","ein",2253,"2020-08-12",1,"2020"
2020-08-13,"00:37:35","LichtS","A","aus",2255,"2020-08-12",-1,"2020"
2020-08-13,"00:37:41","LichtS","A","aus",2261,"2020-08-12",-1,"2020"
2020-08-13,"00:37:44","LichtS","A","ein",2264,"2020-08-12",1,"2020"
2020-08-13,"00:37:45","LichtS","A","ein",2265,"2020-08-12",1,"2020"
2020-08-13,"00:37:54","LichtS","A","aus",2274,"2020-08-12",-1,"2020"
2020-08-13,"00:37:56","LichtS","A","ein",2276,"2020-08-12",1,"2020"
2020-08-13,"00:38:04","LichtS","A","aus",2284,"2020-08-12",-1,"2020"
2020-08-13,"00:38:30","LichtS","A","aus",2310,"2020-08-12",-1,"2020"
2020-08-13,"01:00:18","LichtS","A","ein",3618,"2020-08-12",1,"2020"
2020-08-13,"01:02:09","LichtS","A","ein",3729,"2020-08-12",1,"2020"
2020-08-13,"01:02:15","LichtS","A","ein",3735,"2020-08-12",1,"2020"
2020-08-13,"01:02:23","LichtS","A","ein",3743,"2020-08-12",1,"2020"
2020-08-13,"01:32:58","LichtS","A","ein",5578,"2020-08-12",1,"2020"
2020-08-13,"01:40:12","LichtS","A","aus",6012,"2020-08-12",-1,"2020"
2020-08-13,"01:40:29","LichtS","A","ein",6029,"2020-08-12",1,"2020"
2020-08-13,"01:40:35","LichtS","A","ein",6035,"2020-08-12",1,"2020"
2020-08-13,"01:40:41","LichtS","A","aus",6041,"2020-08-12",-1,"2020"
2020-08-13,"01:40:42","LichtS","A","ein",6042,"2020-08-12",1,"2020"
2020-08-13,"01:40:45","LichtS","A","aus",6045,"2020-08-12",-1,"2020"
2020-08-13,"01:40:45","LichtS","A","aus",6045,"2020-08-12",-1,"2020"
2020-08-13,"01:40:49","LichtS","A","ein",6049,"2020-08-12",1,"2020"
2020-08-13,"01:44:16","LichtS","A","ein",6256,"2020-08-12",1,"2020"
2020-08-13,"01:44:24","LichtS","A","aus",6264,"2020-08-12",-1,"2020"
2020-08-13,"01:44:28","LichtS","A","ein",6268,"2020-08-12",1,"2020"
2020-08-13,"01:44:34","LichtS","A","aus",6274,"2020-08-12",-1,"2020"
2020-08-13,"01:44:34","LichtS","A","aus",6274,"2020-08-12",-1,"2020"
2020-08-13,"01:44:42","LichtS","A","ein",6282,"2020-08-12",1,"2020"
2020-08-13,"01:44:43","LichtS","A","ein",6283,"2020-08-12",1,"2020"
2020-08-13,"01:44:46","LichtS","A","aus",6286,"2020-08-12",-1,"2020"
2020-08-13,"01:46:54","LichtS","A","ein",6414,"2020-08-12",1,"2020"
2020-08-13,"01:46:58","LichtS","A","ein",6418,"2020-08-12",1,"2020"
2020-08-13,"01:47:02","LichtS","A","aus",6422,"2020-08-12",-1,"2020"
2020-08-13,"01:47:10","LichtS","A","aus",6430,"2020-08-12",-1,"2020"
2020-08-13,"01:47:21","LichtS","A","aus",6441,"2020-08-12",-1,"2020"
2020-08-13,"01:47:21","LichtS","A","aus",6441,"2020-08-12",-1,"2020"
2020-08-13,"01:47:24","LichtS","A","aus",6444,"2020-08-12",-1,"2020"
2020-08-13,"01:47:50","LichtS","A","ein",6470,"2020-08-12",1,"2020"
2020-08-13,"01:47:56","LichtS","A","aus",6476,"2020-08-12",-1,"2020"
2020-08-13,"01:47:57","LichtS","A","ein",6477,"2020-08-12",1,"2020"
2020-08-13,"01:55:51","LichtS","A","aus",6951,"2020-08-12",-1,"2020"
2020-08-13,"01:55:51","LichtS","A","ein",6951,"2020-08-12",1,"2020"
2020-08-13,"01:55:52","LichtS","A","ein",6952,"2020-08-12",1,"2020"
2020-08-13,"02:00:51","LichtS","A","aus",7251,"2020-08-12",-1,"2020"
