"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-05-17,"21:15:09","LichtS","A","aus",76509,"2020-05-17",-1,"2020"
2020-05-17,"21:20:03","LichtS","A","aus",76803,"2020-05-17",-1,"2020"
2020-05-17,"21:20:28","LichtS","A","ein",76828,"2020-05-17",1,"2020"
2020-05-17,"21:21:10","LichtS","A","ein",76870,"2020-05-17",1,"2020"
2020-05-17,"21:32:19","LichtS","A","aus",77539,"2020-05-17",-1,"2020"
2020-05-17,"21:32:50","LichtS","A","ein",77570,"2020-05-17",1,"2020"
2020-05-17,"21:33:15","LichtS","A","aus",77595,"2020-05-17",-1,"2020"
2020-05-17,"21:33:15","LichtS","A","ein",77595,"2020-05-17",1,"2020"
2020-05-17,"21:33:50","LichtS","A","aus",77630,"2020-05-17",-1,"2020"
2020-05-17,"21:33:51","LichtS","A","ein",77631,"2020-05-17",1,"2020"
2020-05-17,"21:34:02","LichtS","A","aus",77642,"2020-05-17",-1,"2020"
2020-05-17,"21:36:56","LichtS","A","ein",77816,"2020-05-17",1,"2020"
2020-05-17,"21:40:51","LichtS","A","aus",78051,"2020-05-17",-1,"2020"
2020-05-17,"21:43:12","LichtS","A","aus",78192,"2020-05-17",-1,"2020"
2020-05-17,"21:43:24","LichtS","A","aus",78204,"2020-05-17",-1,"2020"
2020-05-17,"21:43:42","LichtS","A","aus",78222,"2020-05-17",-1,"2020"
2020-05-17,"21:43:47","LichtS","A","ein",78227,"2020-05-17",1,"2020"
2020-05-17,"21:43:51","LichtS","A","ein",78231,"2020-05-17",1,"2020"
2020-05-17,"21:44:18","LichtS","A","aus",78258,"2020-05-17",-1,"2020"
2020-05-17,"21:44:18","LichtS","A","ein",78258,"2020-05-17",1,"2020"
2020-05-17,"21:45:29","LichtS","A","aus",78329,"2020-05-17",-1,"2020"
2020-05-17,"21:45:47","LichtS","A","ein",78347,"2020-05-17",1,"2020"
2020-05-17,"21:47:09","LichtS","A","aus",78429,"2020-05-17",-1,"2020"
2020-05-17,"21:47:09","LichtS","A","ein",78429,"2020-05-17",1,"2020"
2020-05-17,"21:49:43","LichtS","A","aus",78583,"2020-05-17",-1,"2020"
2020-05-17,"21:50:44","LichtS","A","ein",78644,"2020-05-17",1,"2020"
2020-05-17,"21:54:11","LichtS","A","aus",78851,"2020-05-17",-1,"2020"
2020-05-17,"21:54:23","LichtS","A","aus",78863,"2020-05-17",-1,"2020"
2020-05-17,"21:55:03","LichtS","A","aus",78903,"2020-05-17",-1,"2020"
2020-05-17,"21:55:03","LichtS","A","aus",78903,"2020-05-17",-1,"2020"
2020-05-17,"21:55:07","LichtS","A","aus",78907,"2020-05-17",-1,"2020"
2020-05-17,"21:57:38","LichtS","A","aus",79058,"2020-05-17",-1,"2020"
2020-05-17,"21:59:08","LichtS","A","ein",79148,"2020-05-17",1,"2020"
2020-05-17,"22:01:28","LichtS","A","aus",79288,"2020-05-17",-1,"2020"
2020-05-17,"22:04:57","LichtS","A","aus",79497,"2020-05-17",-1,"2020"
2020-05-17,"22:07:35","LichtS","A","aus",79655,"2020-05-17",-1,"2020"
2020-05-17,"22:07:36","LichtS","A","aus",79656,"2020-05-17",-1,"2020"
2020-05-17,"22:09:26","LichtS","A","aus",79766,"2020-05-17",-1,"2020"
2020-05-17,"22:09:27","LichtS","A","ein",79767,"2020-05-17",1,"2020"
2020-05-17,"22:20:53","LichtS","A","aus",80453,"2020-05-17",-1,"2020"
2020-05-17,"22:21:14","LichtS","A","aus",80474,"2020-05-17",-1,"2020"
2020-05-17,"22:21:14","LichtS","A","aus",80474,"2020-05-17",-1,"2020"
2020-05-17,"22:21:22","LichtS","A","aus",80482,"2020-05-17",-1,"2020"
2020-05-17,"22:21:40","LichtS","A","aus",80500,"2020-05-17",-1,"2020"
2020-05-17,"22:23:52","LichtS","A","aus",80632,"2020-05-17",-1,"2020"
2020-05-17,"22:25:31","LichtS","A","aus",80731,"2020-05-17",-1,"2020"
2020-05-17,"22:25:31","LichtS","A","ein",80731,"2020-05-17",1,"2020"
2020-05-17,"22:27:03","LichtS","A","aus",80823,"2020-05-17",-1,"2020"
2020-05-17,"22:28:16","LichtS","A","aus",80896,"2020-05-17",-1,"2020"
2020-05-17,"22:28:16","LichtS","A","ein",80896,"2020-05-17",1,"2020"
2020-05-17,"22:31:11","LichtS","A","ein",81071,"2020-05-17",1,"2020"
2020-05-17,"22:36:40","LichtS","A","ein",81400,"2020-05-17",1,"2020"
2020-05-17,"22:37:21","LichtS","A","ein",81441,"2020-05-17",1,"2020"
2020-05-17,"22:41:49","LichtS","A","aus",81709,"2020-05-17",-1,"2020"
2020-05-17,"22:41:50","LichtS","A","ein",81710,"2020-05-17",1,"2020"
2020-05-17,"22:44:00","LichtS","A","ein",81840,"2020-05-17",1,"2020"
2020-05-17,"22:52:13","LichtS","A","ein",82333,"2020-05-17",1,"2020"
2020-05-17,"22:57:00","LichtS","A","ein",82620,"2020-05-17",1,"2020"
2020-05-17,"22:57:33","LichtS","A","ein",82653,"2020-05-17",1,"2020"
2020-05-17,"23:05:02","LichtS","A","aus",83102,"2020-05-17",-1,"2020"
2020-05-17,"23:07:59","LichtS","A","ein",83279,"2020-05-17",1,"2020"
2020-05-17,"23:08:20","LichtS","A","aus",83300,"2020-05-17",-1,"2020"
2020-05-17,"23:09:16","LichtS","A","aus",83356,"2020-05-17",-1,"2020"
2020-05-17,"23:17:08","LichtS","A","ein",83828,"2020-05-17",1,"2020"
2020-05-17,"23:25:43","LichtS","A","aus",84343,"2020-05-17",-1,"2020"
2020-05-17,"23:25:50","LichtS","A","aus",84350,"2020-05-17",-1,"2020"
2020-05-17,"23:35:57","LichtS","A","aus",84957,"2020-05-17",-1,"2020"
2020-05-17,"23:45:02","LichtS","A","ein",85502,"2020-05-17",1,"2020"
2020-05-17,"23:45:02","LichtS","A","aus",85502,"2020-05-17",-1,"2020"
2020-05-17,"23:45:03","LichtS","A","ein",85503,"2020-05-17",1,"2020"
2020-05-17,"23:53:39","LichtS","A","aus",86019,"2020-05-17",-1,"2020"
2020-05-17,"23:55:18","LichtS","A","aus",86118,"2020-05-17",-1,"2020"
2020-05-17,"23:58:39","LichtS","A","aus",86319,"2020-05-17",-1,"2020"
2020-05-17,"23:58:43","LichtS","A","aus",86323,"2020-05-17",-1,"2020"
2020-05-17,"23:58:59","LichtS","A","aus",86339,"2020-05-17",-1,"2020"
2020-05-18,"00:01:24","LichtS","A","aus",84,"2020-05-17",-1,"2020"
2020-05-18,"00:01:59","LichtS","A","aus",119,"2020-05-17",-1,"2020"
2020-05-18,"00:15:49","LichtS","A","aus",949,"2020-05-17",-1,"2020"
2020-05-18,"00:18:16","LichtS","A","aus",1096,"2020-05-17",-1,"2020"
2020-05-18,"00:18:20","LichtS","A","ein",1100,"2020-05-17",1,"2020"
2020-05-18,"00:25:56","LichtS","A","ein",1556,"2020-05-17",1,"2020"
2020-05-18,"00:32:13","LichtS","A","aus",1933,"2020-05-17",-1,"2020"
2020-05-18,"00:34:22","LichtS","A","aus",2062,"2020-05-17",-1,"2020"
2020-05-18,"00:35:23","LichtS","A","aus",2123,"2020-05-17",-1,"2020"
2020-05-18,"00:36:42","LichtS","A","aus",2202,"2020-05-17",-1,"2020"
2020-05-18,"00:36:51","LichtS","A","aus",2211,"2020-05-17",-1,"2020"
2020-05-18,"00:36:52","LichtS","A","aus",2212,"2020-05-17",-1,"2020"
2020-05-18,"00:41:12","LichtS","A","aus",2472,"2020-05-17",-1,"2020"
2020-05-18,"00:41:12","LichtS","A","ein",2472,"2020-05-17",1,"2020"
2020-05-18,"00:43:55","LichtS","A","ein",2635,"2020-05-17",1,"2020"
2020-05-18,"00:55:36","LichtS","A","aus",3336,"2020-05-17",-1,"2020"
2020-05-18,"00:57:51","LichtS","A","aus",3471,"2020-05-17",-1,"2020"
2020-05-18,"01:09:06","LichtS","A","aus",4146,"2020-05-17",-1,"2020"
2020-05-18,"01:10:19","LichtS","A","aus",4219,"2020-05-17",-1,"2020"
2020-05-18,"01:22:27","LichtS","A","aus",4947,"2020-05-17",-1,"2020"
2020-05-18,"01:36:41","LichtS","A","ein",5801,"2020-05-17",1,"2020"
2020-05-18,"01:47:48","LichtS","A","aus",6468,"2020-05-17",-1,"2020"
2020-05-18,"01:49:38","LichtS","A","ein",6578,"2020-05-17",1,"2020"
2020-05-18,"01:51:25","LichtS","A","ein",6685,"2020-05-17",1,"2020"
2020-05-18,"02:24:14","LichtS","A","aus",8654,"2020-05-17",-1,"2020"
2020-05-18,"02:24:14","LichtS","A","aus",8654,"2020-05-17",-1,"2020"
