Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_22_05_26_48_out.mp4,22.2.2021,5:26:58,LS1 Einflug,1,1,1,1,S1,Eldena_L16,22.2.2021,5:26:58,205,21/02/2021,204
snip_2021_02_22_18_56_02_in.mp4,22.2.2021,18:56:17,LS1 Einflug,1,1,0,1,S1,Eldena_L16,22.2.2021,18:56:17,205,22/02/2021,205
snip_2021_02_22_19_22_40_out.mp4,22.2.2021,19:22:55,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,22.2.2021,19:22:55,205,22/02/2021,205
snip_2021_02_22_21_38_29_in.mp4,22.2.2021,21:38:44,LS1 Einflug,0,-1,1,0,S1,Eldena_L16,22.2.2021,21:38:44,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Eldena_L16,22.2.2021,21:38:44,205,22/02/2021,205
snip_2021_02_22_21_45_02_out.mp4,22.2.2021,21:45:17,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,22.2.2021,21:45:17,205,22/02/2021,205
snip_2021_02_22_21_45_03_in.mp4,22.2.2021,21:45:18,LS1 Einflug,1,1,1,1,S1,Eldena_L16,22.2.2021,21:45:18,205,22/02/2021,205
snip_2021_02_22_21_45_05_in.mp4,22.2.2021,21:45:20,LS1 Einflug,0,-1,1,0,S1,Eldena_L16,22.2.2021,21:45:20,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Eldena_L16,22.2.2021,21:45:20,205,22/02/2021,205
snip_2021_02_22_23_39_02_in.mp4,22.2.2021,23:39:18,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,22.2.2021,23:39:18,205,22/02/2021,205
snip_2021_02_22_23_39_02_out.mp4,22.2.2021,23:39:18,LS1 Einflug,1,1,1,1,S1,Eldena_L16,22.2.2021,23:39:18,205,22/02/2021,205
snip_2021_02_23_01_28_48_out.mp4,23.2.2021,1:29:04,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,1:29:04,206,22/02/2021,205
snip_2021_02_23_04_03_37_out.mp4,23.2.2021,4:03:55,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,4:03:55,206,22/02/2021,205
snip_2021_02_23_18_25_28_in.mp4,23.2.2021,18:25:50,LS1 Einflug,1,1,0,1,S1,Eldena_L16,23.2.2021,18:25:50,206,23/02/2021,206
,23.2.2021,18:25:50,LS1 Ausflug,-1,0,0,0,S1,Eldena_L16,23.2.2021,18:25:50,206,23/02/2021,206
,23.2.2021,18:25:50,LS1 Ausflug,-1,0,0,0,S1,Eldena_L16,23.2.2021,18:25:50,206,23/02/2021,206
,23.2.2021,18:25:50,LS1 Einflug,1,0,0,0,S1,Eldena_L16,23.2.2021,18:25:50,206,23/02/2021,206
snip_2021_02_23_18_25_31_out.mp4,23.2.2021,18:25:53,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,18:25:53,206,23/02/2021,206
snip_2021_02_23_18_25_42_in.mp4,23.2.2021,18:26:04,LS1 Einflug,1,1,0,1,S1,Eldena_L16,23.2.2021,18:26:04,206,23/02/2021,206
snip_2021_02_23_18_25_46_out.mp4,23.2.2021,18:26:08,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,18:26:08,206,23/02/2021,206
snip_2021_02_23_18_35_11_out.mp4,23.2.2021,18:35:34,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,18:35:34,206,23/02/2021,206
snip_2021_02_23_19_12_47_out.mp4,23.2.2021,19:13:10,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,19:13:10,206,23/02/2021,206
snip_2021_02_23_19_12_54_in.mp4,23.2.2021,19:13:17,LS1 Einflug,1,1,0,1,S1,Eldena_L16,23.2.2021,19:13:17,206,23/02/2021,206
snip_2021_02_23_19_12_57_out.mp4,23.2.2021,19:13:19,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,19:13:19,206,23/02/2021,206
snip_2021_02_23_19_23_30_out.mp4,23.2.2021,19:23:52,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,23.2.2021,19:23:52,206,23/02/2021,206
,NA,NA,,0,1,1,0,S1,Eldena_L16,23.2.2021,19:23:52,206,23/02/2021,206
snip_2021_02_23_19_23_33_in.mp4,23.2.2021,19:23:55,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,23.2.2021,19:23:55,206,23/02/2021,206
,23.2.2021,19:23:55,LS1 Einflug,1,1,1,1,S1,Eldena_L16,23.2.2021,19:23:55,206,23/02/2021,206
snip_2021_02_23_20_07_32_in.mp4,23.2.2021,20:07:54,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,23.2.2021,20:07:54,206,23/02/2021,206
snip_2021_02_23_20_07_32_out.mp4,23.2.2021,20:07:54,LS1 Einflug,1,1,1,1,S1,Eldena_L16,23.2.2021,20:07:54,206,23/02/2021,206
snip_2021_02_23_20_07_33_out.mp4,23.2.2021,20:07:54,LS1 Einflug,1,-1,1,0,S1,Eldena_L16,23.2.2021,20:07:54,206,23/02/2021,206
,23.2.2021,20:07:54,LS1 Ausflug,-1,1,1,0,S1,Eldena_L16,23.2.2021,20:07:54,206,23/02/2021,206
,23.2.2021,20:07:55,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,23.2.2021,20:07:55,206,23/02/2021,206
,23.2.2021,20:07:55,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,23.2.2021,20:07:55,206,23/02/2021,206
,23.2.2021,20:07:55,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,23.2.2021,20:07:55,206,23/02/2021,206
snip_2021_02_23_20_07_38_out.mp4,23.2.2021,20:08:00,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,23.2.2021,20:08:00,206,23/02/2021,206
,23.2.2021,20:08:01,LS1 Ausflug,-1,1,1,0,S1,Eldena_L16,23.2.2021,20:08:01,206,23/02/2021,206
snip_2021_02_23_20_07_42_in.mp4,23.2.2021,20:08:04,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,23.2.2021,20:08:04,206,23/02/2021,206
snip_2021_02_23_20_07_42_out.mp4,23.2.2021,20:08:04,LS1 Einflug,1,0,1,0,S1,Eldena_L16,23.2.2021,20:08:04,206,23/02/2021,206
,23.2.2021,20:08:04,LS1 Einflug,1,1,1,1,S1,Eldena_L16,23.2.2021,20:08:04,206,23/02/2021,206
snip_2021_02_23_20_07_46_in.mp4,23.2.2021,20:08:08,LS1 Einflug,1,-1,1,0,S1,Eldena_L16,23.2.2021,20:08:08,206,23/02/2021,206
snip_2021_02_23_20_07_47_in.mp4,23.2.2021,20:08:09,LS1 Einflug,1,0,1,0,S1,Eldena_L16,23.2.2021,20:08:09,206,23/02/2021,206
,23.2.2021,20:08:09,LS1 Einflug,1,1,1,1,S1,Eldena_L16,23.2.2021,20:08:09,206,23/02/2021,206
snip_2021_02_23_20_08_31_out.mp4,23.2.2021,20:08:53,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,20:08:53,206,23/02/2021,206
snip_2021_02_23_20_08_35_in.mp4,23.2.2021,20:08:57,LS1 Einflug,1,1,0,1,S1,Eldena_L16,23.2.2021,20:08:57,206,23/02/2021,206
snip_2021_02_23_20_08_42_out.mp4,23.2.2021,20:09:05,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,23.2.2021,20:09:05,206,23/02/2021,206
